Geo Point;Geo Shape;objectid;shape_leng;insee;nomcom;numdep;fusioinsee;nomcomto;st_areasha;st_lengths
48.8788972003,3.24649489754;"{""coordinates"": [[[3.26305518561757, 48.86013039833001], [3.259309165565621, 48.860570248818924], [3.241702999216271, 48.867253071470856], [3.244555259355836, 48.87374931731963], [3.233638795616395, 48.880695793744884], [3.223692237959779, 48.88236051808495], [3.220215560165089, 48.87600886965882], [3.205444834523404, 48.87816648831368], [3.209080611692384, 48.88719818724499], [3.213742002029172, 48.88660541231621], [3.216602291933175, 48.8923377903561], [3.235819249747731, 48.889468703602134], [3.239815274264352, 48.89544108453154], [3.248057528340099, 48.887744300798225], [3.271818988756862, 48.886217863163616], [3.278276272462095, 48.87734486576234], [3.26305518561757, 48.86013039833001]]], ""type"": ""Polygon""}";12;16584.7902688;77472;La Trétoire;77;;Trétoire (la);9488102.0;16584.7902687774
48.5145241389,2.34431579636;"{""coordinates"": [[[2.35228842102065, 48.48979376405596], [2.350338674804364, 48.49642236387759], [2.341659327363695, 48.499892116028086], [2.33453285254543, 48.49610997432351], [2.321981896203022, 48.501607690932865], [2.307086472728098, 48.49990243090049], [2.324144816482852, 48.51865876729113], [2.338447633260605, 48.52164497343806], [2.341497217748613, 48.537620843033444], [2.357098994485879, 48.536815626497386], [2.359995956278527, 48.53475318937482], [2.37224307315328, 48.53686056354044], [2.362615567330006, 48.52428692284015], [2.366373519546299, 48.510291116251416], [2.35228842102065, 48.48979376405596]]], ""type"": ""Polygon""}";14;17789.5569984;91315;Itteville;91;;Itteville;12122472.0;17789.556998389493
48.4779086815,1.82683665622;"{""coordinates"": [[[1.839126315842793, 48.458032032210355], [1.834566399911282, 48.46723643196716], [1.810509447350769, 48.46612512841611], [1.802130682434466, 48.46809224591656], [1.800663525999327, 48.47427647622722], [1.793727092359643, 48.478767761286726], [1.796336238053646, 48.484192490609665], [1.800144135845645, 48.48634532954801], [1.812919579427647, 48.481597300819224], [1.825422692684076, 48.48710183467617], [1.82961019583912, 48.49657198753152], [1.842812985133985, 48.49514486017748], [1.850012013843413, 48.47919118014294], [1.8527523620426, 48.46959084479223], [1.843922997397196, 48.46687805058516], [1.839126315842793, 48.458032032210355]]], ""type"": ""Polygon""}";56;14907.9998213;78472;Orsonville;78;;Orsonville;9504775.5;14907.999821285513
48.523493031,2.6146358615;"{""coordinates"": [[[2.600735098184952, 48.515834549359916], [2.602093054124466, 48.52246008176862], [2.611623879616338, 48.524677597291486], [2.60882948198527, 48.53074061956295], [2.6164658147528, 48.527401064996475], [2.629448044769313, 48.530158974745795], [2.631863494199458, 48.52757568602682], [2.610728985503724, 48.51752294904232], [2.600735098184952, 48.515834549359916]]], ""type"": ""Polygon""}";57;6894.43052408;77038;Boissettes;77;;Boissettes;1603038.0;6894.4305240708545
48.9368195223,1.99586527491;"{""coordinates"": [[[2.008618146602788, 48.92069850338688], [1.998111832191764, 48.9284083660705], [1.982363840711382, 48.92896815370751], [1.978490145172675, 48.94551883881765], [1.980861351913456, 48.948533762228976], [1.995997597590389, 48.94885034182492], [2.002521172373979, 48.95399491980616], [2.003569660274649, 48.94132326065328], [2.008405582969257, 48.93471735362613], [2.016906453423188, 48.92405836996669], [2.008618146602788, 48.92069850338688]]], ""type"": ""Polygon""}";59;10681.1446322;78672;Villennes-sur-Seine;78;;Villennes-sur-Seine;5117345.0;10681.144632242725
49.2131541909,1.70318156018;"{""coordinates"": [[[1.671824653107443, 49.1808930248431], [1.670536993515365, 49.18990645093814], [1.675944111513582, 49.19947908707922], [1.673193196726282, 49.20562598937586], [1.676291302225159, 49.212187848845275], [1.699560828118969, 49.22611695711601], [1.704364206596586, 49.23220177516339], [1.710967368713682, 49.2371907073631], [1.740453152102055, 49.22344019533987], [1.735820917820504, 49.22200705971469], [1.7331944987452, 49.21210708155847], [1.715641456309507, 49.20601396745633], [1.715546355609403, 49.20265915799678], [1.706339192557915, 49.19990817938743], [1.701581484912835, 49.20578236742736], [1.69648324481261, 49.2055205223252], [1.682786591167122, 49.19587655074113], [1.681200576321077, 49.18274044009817], [1.671824653107443, 49.1808930248431]]], ""type"": ""Polygon""}";73;18855.710691099997;95541;Saint-Clair-sur-Epte;95;;Saint-Clair-sur-Epte;12431151.0;18855.710691168104
48.9909940165,2.27800925488;"{""coordinates"": [[[2.291858276424344, 48.97624146913105], [2.273845820741737, 48.97678124441291], [2.26347455684559, 48.99817415412632], [2.273375859274805, 49.00648951939514], [2.283143165375888, 49.00295131421091], [2.282734995394293, 48.99984650528035], [2.290335704385444, 48.996708384764716], [2.292862067561395, 48.99584204258718], [2.285380127831755, 48.98440425835139], [2.291858276424344, 48.97624146913105]]], ""type"": ""Polygon""}";78;9428.37117478;95203;Eaubonne;95;;Eaubonne;4439604.0;9428.371174773694
49.0019033624,2.35030688962;"{""coordinates"": [[[2.365690973859744, 48.988839401535415], [2.361984576626002, 48.9868953727105], [2.351150218229887, 48.99230465358528], [2.337479605121333, 48.99275150915263], [2.331567228684923, 49.00089278077632], [2.321031502952932, 49.00703833513259], [2.322304198203269, 49.01006693283087], [2.341871552243598, 49.006345111231134], [2.363450476008217, 49.02003971396452], [2.363647080160659, 49.00957385403512], [2.368364578756887, 48.999329601390635], [2.365690973859744, 48.988839401535415]]], ""type"": ""Polygon""}";86;11947.9380335;95539;Saint-Brice-sous-Forêt;95;;Saint-Brice-sous-Forêt;5961919.0;11947.938033507657
48.8410515899,2.16026455161;"{""coordinates"": [[[2.151465535500456, 48.821408687854955], [2.148475927847976, 48.828492685236824], [2.145872522607816, 48.8369014306374], [2.15003231597016, 48.84666240780286], [2.159867593277309, 48.84772119662741], [2.182605727070647, 48.85156614437129], [2.179811681931083, 48.84552120498507], [2.167349058134369, 48.840893236110404], [2.166622818791542, 48.83774033147073], [2.156419228745144, 48.83765981208241], [2.151465535500456, 48.821408687854955]]], ""type"": ""Polygon""}";90;10052.392056499999;92076;Vaucresson;92;;Vaucresson;3047339.5;10052.39205646092
48.5144915649,3.23853264046;"{""coordinates"": [[[3.219990260190412, 48.503041653335465], [3.222022825195016, 48.52271181973818], [3.230172164693187, 48.52510718930364], [3.242408227990941, 48.5236795247998], [3.255556628848599, 48.52063838966981], [3.264675762090255, 48.513700628965026], [3.258553268842429, 48.51044860216763], [3.2428829000654, 48.50628057711662], [3.219990260190412, 48.503041653335465]]], ""type"": ""Polygon""}";94;9373.80707681;77260;Longueville;77;;Longueville;5383373.5;9373.807076790476
